【該当数】,【リズム】,【該当文字一覧】,【連結リズム】
14,タン,"／,・,(,),|,.,、,_,ー,1,I,l,ノ,一",タ
35,タタン,"ゝ,~,～,<,>,^,「,」,,,。,0,C,c,J,L,O,o,r,U,V,v,γ,ι,ν,ο,υ,く,し,つ,っ,て,フ,へ,ヘ,レ",タタ
30,タタタン,"&,[,],2,6,8,9,a,b,d,e,g,h,n,p,q,S,s,u,Z,z,α,δ,ζ,η,ρ,σ,φ,の,乙",タタタ
29,タンタン,"!,！,"",=,+,i,T,t,X,x,y,λ,χ,イ,ィ,ソ,ト,ナ,ニ,ハ,ヒ,メ,リ,ン,十,人,二,入,八",タンタ
15,タタタタン,"{,},♡,3,W,w,β,ε,μ,ω,そ,ひ,ろ,ん,了",タタタタ
16,タンタタン,"7,D,N,P,Y,ψ,う,ぅ,ク,と,ラ,ル,ワ,ヮ,七,丁",タンタタ
24,タタンタン,"4,f,j,Q,θ,κ,Φ,ア,ァ,い,ぃ,こ,コ,ス,セ,ヌ,マ,ム,ヤ,ャ,ユ,ュ,り,又",タタンタ
2,タタタタタン,"m,★",タタタタタ
4,タタンタタン,"G,プ,ぺ,ペ",タタンタタ
7,タンタタタン,"M,す,ち,め,よ,ょ,九",タンタタタ
10,タタタンタン,"？,?,5,$,カ,ヵ,ゆ,ゅ,刀,力",タタタンタ
31,タンタンタン,"A,F,H,K,k,エ,ェ,キ,ケ,ヶ,サ,シ,チ,ツ,ッ,テ,ミ,モ,ヲ,下,干,工,三,士,上,丈,千,川,大,土,亡",タンタンタ
2,タタタタタタン,"る,ξ",タタタタタタ
2,タタタタンタン,"み,子",タタタタンタ
1,タタンタタタン,ら,タタンタタタ
4,タンタンタタン,"ウ,ゥ,パ,ピ",タンタンタタ
4,タンタタタタン,"B,え,ぇ,わ",タンタタタタ
15,タンタタンタン,"R,π,オ,ォ,さ,せ,タ,ロ,々,久,口,才,山,寸,夕",タンタタンタ
21,タタンタンタン,"か,ゕ,ぐ,け,づ,で,に,ブ,べ,べ,も,や,ゃ,ヨ,ョ,ヱ,ゞ,斤,女,小,爪",タタンタンタ
2,タンタタタタタン,"ぬ,れ",タンタタタタタ
1,タタタタンタタン,ぴ,タタタタンタタ
1,タタタンタンタン,刃,タタタンタンタ
2,タタンタンタタン,"じ,己",タタンタンタタ
1,タンタタンタタン,%,タンタタンタタ
5,タンタンタタタン,"あ,ぁ,ま,乞,乏",タンタンタタタ
6,タンタタタンタン,"お,ぉ,丸,巾,凡,万",タンタタタンタ
25,タンタンタンタン,"#,E,ゾ,た,ド,バ,井,王,火,介,牛,犬,午,止,升,仁,太,天,斗,不,夫,父,文,木,六",タンタンタンタ
1,タタタタタタタタン,ゑ,タタタタタタタタ
1,タタタタンタンタン,"ぞ,び",タタタタンタンタ
1,タタタンタンタタン,氏,タタタンタンタタ
1,タタンタタンタタン,水,タタンタタンタタ
1,タンタタタタタタン,ね,タンタタタタタタ
3,タンタタタタンタン,"む,及,与",タンタタタタンタ
1,タンタタタンタタン,を,タンタタタンタタ
8,タンタンタタンタン,"き,凶,五,公,支,反,仏,友",タンタンタタンタ
10,タンタタンタンタン,"グ,ど,ネ,ビ,ホ,欠,戸,心,中,日",タンタタンタンタ
9,タンタンタンタタン,"化,刈,区,元,今,手,匹,片,毛",タンタンタンタタ
1,タタンタンタタタン,は,タタンタンタタタ
9,タタンタンタンタン,"ご,ゴ,ズ,ゼ,ふ,丘,尺,少,斥",タタンタンタンタ
1,タタタタンタンタタン,孔,タタタタンタンタタ
1,タタタンタンタンタン,ガ,タタタンタンタンタ
1,タタンタンタタタタン,弓,タタンタンタタタタ
2,タタンタンタタンタン,"収,双",タタンタンタタンタ
2,タンタタンタタンタン,"牙,互",タンタタンタタンタ
3,タンタタンタンタタン,"世,屯,比",タンタタンタンタタ
3,タンタンタタタンタン,"切,分,方",タンタンタタタンタ
6,タンタタタンタンタン,"ず,ぢ,円,月,丹,内",タンタタタンタンタ
1,タンタンタンタタタン,な,タンタンタンタタタ
25,タンタンタンタンタン,"ギ,ゲ,ザ,ジ,ヂ,ヅ,デ,圧,以,甘,玉,左,仕,失,主,正,生,半,平,本,末,未,矢,立,丼",タンタンタンタンタ
1,タタタタタタタタタタン,☆,タタタタタタタタタタ
1,タンタタタンタタンタン,勾,タンタタタンタタンタ
1,タンタタタンタンタタン,匂,タンタタタンタンタタ
1,タンタタンタンタタタン,冗,タンタタンタンタタタ
1,タンタンタタタンタタン,厄,タンタンタタタンタタ
1,タンタタンタタタンタン,瓦,タンタタンタタタンタ
2,タタンタンタタンタタン,"氷,予",タタンタンタタンタタ
1,タタンタンタンタタタン,ほ,タタンタンタンタタタ
3,タタンタンタンタンタン,"が,げ,弁",タタンタンタンタンタ
4,タンタンタンタンタタン,"刊,札,庁,北",タンタンタンタンタタ
8,タンタンタタンタンタン,"ヴ,旧,巨,示,汁,白,必,穴",タンタンタタンタンタ
10,タンタンタンタタンタン,"右,去,古,広,石,仙,占,代,付,令",タンタンタンタタンタ
17,タンタタンタンタンタン,"ざ,ぜ,ダ,央,外,且,甲,皿,史,申,旦,田,冬,目,由,四,囚",タンタタンタンタンタ
1,タタンタタンタンタタタン,幻,タタンタタンタンタタタ
1,タンタンタタンタンタタン,可,タンタンタタンタンタタ
1,タンタタタンタタンタタン,永,タンタタタンタタンタタ
1,タンタンタタタンタンタン,丙,タンタンタタタンタンタ
1,タンタンタタンタタンタン,玄,タンタンタタンタタンタ
1,タンタンタンタタタタタン,込,タンタンタンタタタタタ
1,タンタンタンタンタタタン,芝,タンタンタンタンタタタ
2,タタンタンタタタタンタン,"引,弔",タタンタンタタタタンタ
2,タタンタンタンタンタタン,"ぷ,尼",タタンタンタンタンタタ
2,タンタタタンタンタンタン,"冊,用",タンタタタンタンタンタ
3,タタンタンタンタタンタン,"后,台,奴",タタンタンタンタタンタ
3,タンタタンタンタタンタン,"出,皮,払",タンタタンタンタタンタ
3,タンタンタンタタタンタン,"功,市,布",タンタンタンタタタンタ
1,タタンタンタタタンタタン,ぱ,タタンタンタタタンタタ
1,タタンタンタタンタンタン,臼,タタンタンタタンタンタ
6,タンタタンタンタンタタン,"ポ,兄,叱,匠,打,礼",タンタタンタンタンタタ
19,タンタンタンタンタンタン,"だ,灰,企,休,共,件,交,在,耳,朱,州,全,壮,任,年,伏,忙,朴,羊",タンタンタンタンタンタ
1,タタンタタタンタンタンタン,母,タタンタタタンタンタンタ
1,タタンタンタタタンタンタン,ば,タタンタンタタタンタンタ
1,タタンタンタタンタタンタン,矛,タタンタンタタンタタンタ
1,タタンタンタタンタンタタン,民,タタンタンタタンタンタタ
1,タタンタンタンタタタンタン,印,タタンタンタンタタタンタ
1,タタンタンタンタンタタタン,尻,タタンタンタンタンタタタ
1,タンタタタンタンタタンタン,句,タンタタタンタンタタンタ
1,タンタタンタンタンタタタン,処,タンタタンタンタンタタタ
1,タンタンタタタンタタンタン,凸,タンタンタタタンタタンタ
1,タンタンタタタンタンタタン,他,タンタンタタタンタンタタ
1,タンタンタンタンタタタタン,巧,タンタンタンタンタタタタ
4,タタタンタンタンタタンタン,"凹,加,司,召",タタタンタンタンタタンタ
3,タタンタンタンタンタンタン,"ぶ,尽,兵",タタンタンタンタンタンタ
8,タンタタンタンタンタンタン,"ボ,叫,曲,至,早,虫,吐,因",タンタタンタンタンタンタ
7,タンタンタンタタンタンタン,"衣,次,仲,当,伐,百,妄",タンタンタンタタンタンタ
7,タンタンタタンタンタンタン,"ぎ,汗,血,江,自,西,吏",タンタンタタンタンタンタ
9,タンタンタンタンタンタタン,"芋,刑,光,行,先,竹,兆,灯,老",タンタンタンタンタンタタ
11,タンタンタンタンタタンタン,"仮,会,缶,伎,吉,合,寺,式,舌,伝,弐",タンタンタンタンタタンタ
1,タタタンタンタンタタタタタン,辺,タタタンタンタンタタタタタ
1,タタンタタンタンタタタンタン,幼,タタンタタンタンタタタンタ
1,タタンタタンタンタンタンタン,糸,タタンタタンタンタンタンタ
1,タタンタンタンタタタンタタン,ぽ,タタンタンタンタタタンタタ
1,タタンタンタンタタタタンタン,好,タタンタンタンタタタタンタ
1,タタンタンタンタンタタンタン,如,タタンタンタンタンタタンタ
1,タンタタタンタタンタンタタン,包,タンタタタンタタンタンタタ
1,タンタタタンタンタンタンタン,肉,タンタタタンタンタンタンタ
1,タンタタンタンタタタンタタン,犯,タンタタンタンタタタンタタ
1,タンタタンタンタンタタタタン,号,タンタタンタンタンタタタタ
1,タンタンタタタンタタタンタン,仰,タンタンタタタンタタタンタ
1,タンタンタタンタタタタンタン,字,タンタンタタンタタタタンタ
1,タンタンタタンタタタンタタン,氾,タンタンタタンタタタンタタ
1,タンタンタタンタタンタンタン,安,タンタンタタンタタンタンタ
1,タンタンタタンタンタタンタン,守,タンタンタタンタンタタンタ
1,タンタンタンタンタンタタタン,机,タンタンタンタンタンタタタ
4,タンタタンタンタタンタンタン,"旨,折,回,団",タンタタンタンタタンタンタ
2,タンタンタタタンタンタンタン,"再,舟",タンタンタタタンタンタンタ
2,タンタンタンタタタンタンタン,"気,有",タンタンタンタタタンタンタ
3,タンタタンタンタンタタンタン,"各,多,名",タンタタンタンタンタタンタ
5,タンタンタタンタンタンタタン,"宇,死,充,宅,列",タンタンタタンタンタンタタ
17,タンタンタンタンタンタンタン,"位,形,攻,佐,作,似,寿,住,床,状,辛,杉,走,体,伴,来,弄",タンタンタンタンタンタンタ
1,タタンタンタンタタタンタンタン,ぼ,タタンタンタンタタタンタンタン
1,タタンタンタンタタンタンタタン,妃,タタンタンタンタタンタンタタ
1,タタンタンタンタンタタタタタン,近,タタンタンタンタンタタタタタ
1,タタンタンタンタンタタタンタン,劣,タタンタンタンタンタタタンタ
1,タンタタタンタンタタンタンタン,旬,タンタタタンタンタタンタンタ
1,タンタタタンタンタンタタンタン,同,タンタタタンタンタンタタンタ
1,タンタタンタンタタタンタンタン,扱,タンタタンタンタタタンタンタ
1,タンタンタタタンタタンタンタン,成,タンタンタタタンタタンタンタ
1,タンタンタタンタタタンタンタン,毎,タンタンタタンタタタンタンタ
1,タンタンタタンタンタタタンタン,汎,タンタンタタンタンタタタンタ
1,タンタンタンタタタンタンタタン,地,タンタンタンタタタンタンタタ
2,タンタタンタタンタンタンタタン,"色,争",タンタタンタタンタンタンタタ
2,タンタンタンタンタンタタタタン,"朽,考",タンタンタンタンタンタタタタ
2,タタンタンタンタンタンタンタン,"妊,妖",タタンタンタンタンタンタンタ
3,タンタンタタタンタンタタンタン,"向,低,両",タンタンタタタンタンタタンタ
4,タンタンタンタンタタタタンタン,"孝,存,廷,邦",タンタンタンタンタタタタンタ
